CSAFP,GEOID,NAME,CBSA_TYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                             
172,43140,"Shelby, NC Micro Area",2,1202395052,10205340,464.247,3.94,35.33463,-81.557114
400,43180,"Shelbyville, TN Micro Area",2,1226719784,2980756,473.639,1.151,35.51366,-86.458294
500,43220,"Shelton, WA Micro Area",2,2484806998,237381766,959.389,91.654,47.354126,-123.17385
206,43300,"Sherman-Denison, TX Metro Area",1,2415995947,120112446,932.821,46.376,33.624524,-96.675693
212,43380,"Sidney, OH Micro Area",2,1055921780,7808224,407.694,3.015,40.33668,-84.204142
164,43460,"Sikeston, MO Micro Area",2,1087765645,15199712,419.989,5.869,37.047793,-89.568098
512,43580,"Sioux City, IA-NE-SD Metro Area",1,7606373502,56808444,2936.837,21.934,42.580634,-96.376047
306,43740,"Somerset, PA Micro Area",2,2782597159,17002839,1074.367,6.565,39.981297,-79.028486
515,43780,"South Bend-Mishawaka, IN-MI Metro Area",1,2455246507,56251593,947.976,21.719,41.774981,-86.123014
273,43900,"Spartanburg, SC Metro Area",1,3424370024,34016290,1322.157,13.134,34.83462,-81.842401
452,43940,"Spearfish, SD Micro Area",2,2072127374,667509,800.053,0.258,44.348572,-103.805791
518,44060,"Spokane-Spokane Valley, WA Metro Area",1,14611504992,271829178,5641.534,104.954,48.189041,-117.573219
522,44100,"Springfield, IL Metro Area",1,3063280704,25218803,1182.739,9.737,39.828565,-89.696205
521,44140,"Springfield, MA Metro Area",1,2963652907,90949140,1144.273,35.116,42.2478,-72.632047
520,44180,"Springfield, MO Metro Area",1,7787763970,35845289,3006.873,13.84,37.36087,-93.180262
212,44220,"Springfield, OH Metro Area",1,1029475869,13070242,397.483,5.046,39.917032,-83.783676
524,44300,"State College, PA Metro Area",1,2874529780,8187277,1109.862,3.161,40.90916,-77.84783
496,44340,"Statesboro, GA Micro Area",2,1743101866,40429683,673.015,15.61,32.391711,-81.744021
277,44420,"Staunton-Waynesboro, VA Metro Area",1,2594641820,10481933,1001.797,4.047,38.160958,-79.127632
525,44460,"Steamboat Springs, CO Micro Area",2,6117602774,15831744,2362.02,6.113,40.483664,-106.987702
221,44580,"Sterling, IL Micro Area",2,1772197821,31797486,684.249,12.277,41.750571,-89.910957
554,44620,"Stevens Point, WI Micro Area",2,2074125052,56939082,800.824,21.984,44.476246,-89.49807
488,44700,"Stockton-Lodi, CA Metro Area",1,3606190671,89046837,1392.358,34.381,37.934982,-121.272244
310,44780,"Sturgis, MI Micro Area",2,1296530601,52921099,500.593,20.433,41.911488,-85.52287
206,44860,"Sulphur Springs, TX Micro Area",2,1987018121,66250826,767.192,25.58,33.148959,-95.565194
470,44900,"Summerville, GA Micro Area",2,811512406,570806,313.327,0.22,34.474178,-85.345289
